date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:31	9369/9369	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2016:44:27%20GMT	http://127.0.0.1/index.php/from-the-abyss	C:/My%20Web%20Sites/wastor/127.0.0.1/index.php/from-the-abyss.html	(from )
18:44:31	399/399	---M-Z	200	added ('OK')	text/plain	etag:%22361-4cdeafac37f00-gzip%22	http://127.0.0.1/robots.txt		(from )
18:44:31	546/546	---M-Z	200	added ('OK')	application/xml	date:Thu,%2004%20Aug%202016%2016:44:28%20GMT	http://127.0.0.1/index.php/component/jcomments/feed/com_content/74	C:/My%20Web%20Sites/wastor/127.0.0.1/index.php/component/jcomments/feed/com_content/74	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:32	15523/15523	---M-Z	200	added ('OK')	text/css	etag:%223ca3-4c6e6b9a1a980-gzip%22	http://127.0.0.1/components/com_jcomments/tpl/default/style.css?v=21	C:/My%20Web%20Sites/wastor/127.0.0.1/components/com_jcomments/tpl/default/style2dac.css	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:32	27999/27999	---M-Z	200	added ('OK')	application/javascript	etag:%226d5f-4c6e6b9926740-gzip%22	http://127.0.0.1/components/com_jcomments/js/jcomments-v2.3.js?v=8	C:/My%20Web%20Sites/wastor/127.0.0.1/components/com_jcomments/js/jcomments-v2.38e0e.js	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:32	4206/4206	---M-Z	200	added ('OK')	application/javascript	etag:%22106e-4c6e6b9a1a980-gzip%22	http://127.0.0.1/components/com_jcomments/libraries/joomlatune/ajax.js?v=4	C:/My%20Web%20Sites/wastor/127.0.0.1/components/com_jcomments/libraries/joomlatune/ajax7b30.js	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:33	4784/4784	---M-Z	200	added ('OK')	application/javascript	etag:%2212b0-4cdeafac37f00-gzip%22	http://127.0.0.1/media/system/js/core.js	C:/My%20Web%20Sites/wastor/127.0.0.1/media/system/js/core.js	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:33	729/729	---M-Z	200	added ('OK')	application/javascript	etag:%222d9-4c6874a672180-gzip%22	http://127.0.0.1/media/system/js/caption.js	C:/My%20Web%20Sites/wastor/127.0.0.1/media/system/js/caption.js	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:33	13681/13681	---M-Z	200	added ('OK')	text/css	etag:%223571-4c767ba1f1240-gzip%22	http://127.0.0.1/templates/siteground-j16-36/css/template.css	C:/My%20Web%20Sites/wastor/127.0.0.1/templates/siteground-j16-36/css/template.css	(from http://127.0.0.1/index.php/from-the-abyss)
18:44:34	23048/23048	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2016:44:30%20GMT	http://127.0.0.1/index.php/menu-castlevania-aria-of-sorrow	C:/My%20Web%20Sites/wastor/127.0.0.1/index.php/menu-castlevania-aria-of-sorrow.html	(from http://127.0.0.1/index.php/from-the-abyss)
